Method 2 Epsilon 0.1
Widths 32 64 128 256 512 1024
Heights 32 64 128 256 512 1024
Procs 1 2 4 6 8 10 12 16

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   32    32       1024   1   32.00000   32.00000     0.201762000     1.000000000     1.000000000
   32    32       1024   2   16.00000   16.00000     0.132240000     1.525725953     0.762862976
   32    32       1024   4    8.00000    8.00000     0.136504000     1.478066577     0.369516644
   32    32       1024   6    5.33333    5.33333     0.222493000     0.906824035     0.151137339
   32    32       1024   8    4.00000    4.00000     0.215406000     0.936659146     0.117082393
   32    32       1024  10    3.20000    3.20000     0.334269000     0.603591718     0.060359172
   32    32       1024  12    2.66667    2.66667     0.287798000     0.701054212     0.058421184
   32    32       1024  16    2.00000    2.00000     0.365727000     0.551673789     0.034479612
   64    64       4096   1   64.00000   64.00000     1.782627000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     1.004141000     1.775275584     0.887637792
   64    64       4096   4   16.00000   16.00000     0.694609000     2.566374752     0.641593688
   64    64       4096   6   10.66667   10.66667     0.904737000     1.970326183     0.328387697
   64    64       4096   8    8.00000    8.00000     0.875365000     2.036438514     0.254554814
   64    64       4096  10    6.40000    6.40000     1.059729000     1.682153645     0.168215364
   64    64       4096  12    5.33333    5.33333     1.006945000     1.770332044     0.147527670
   64    64       4096  16    4.00000    4.00000     1.165523000     1.529465313     0.095591582
  128   128      16384   1  128.00000  128.00000     9.334217000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     4.985123000     1.872414582     0.936207291
  128   128      16384   4   32.00000   32.00000     2.710853000     3.443276710     0.860819178
  128   128      16384   6   21.33333   21.33333     3.672449000     2.541687305     0.423614551
  128   128      16384   8   16.00000   16.00000     2.907714000     3.210156501     0.401269563
  128   128      16384  10   12.80000   12.80000     3.764389000     2.479610104     0.247961010
  128   128      16384  12   10.66667   10.66667     3.283421000     2.842832826     0.236902735
  128   128      16384  16    8.00000    8.00000     3.419257000     2.729896290     0.170618518
  256   256      65536   1  256.00000  256.00000    37.891779000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000    19.775293000     1.916117197     0.958058599
  256   256      65536   4   64.00000   64.00000    10.659033000     3.554898366     0.888724592
  256   256      65536   6   42.66667   42.66667    13.939072000     2.718386059     0.453064343
  256   256      65536   8   32.00000   32.00000    10.948672000     3.460856166     0.432607021
  256   256      65536  10   25.60000   25.60000    13.363778000     2.835409193     0.283540919
  256   256      65536  12   21.33333   21.33333    11.389287000     3.326966736     0.277247228
  256   256      65536  16   16.00000   16.00000    11.677197000     3.244937890     0.202808618
  512   512     262144   1  512.00000  512.00000   153.009552000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000    80.188286000     1.908128477     0.954064238
  512   512     262144   4  128.00000  128.00000    43.025204000     3.556277200     0.889069300
  512   512     262144   6   85.33333   85.33333    57.464157000     2.662695496     0.443782583
  512   512     262144   8   64.00000   64.00000    43.129593000     3.547669740     0.443458718
  512   512     262144  10   51.20000   51.20000    51.413645000     2.976049490     0.297604949
  512   512     262144  12   42.66667   42.66667    43.583575000     3.510715952     0.292559663
  512   512     262144  16   32.00000   32.00000    45.291189000     3.378351405     0.211146963
 1024  1024    1048576   1 1024.00000 1024.00000   620.953036000     1.000000000     1.000000000
 1024  1024    1048576   2  512.00000  512.00000   321.367059000     1.932223663     0.966111832
 1024  1024    1048576   4  256.00000  256.00000   171.446157000     3.621854504     0.905463626
 1024  1024    1048576   6  170.66667  170.66667   225.174834000     2.757648468     0.459608078
 1024  1024    1048576   8  128.00000  128.00000   200.235472000     3.101114052     0.387639257
 1024  1024    1048576  10  102.40000  102.40000   205.711179000     3.018567289     0.301856729
 1024  1024    1048576  12   85.33333   85.33333   174.194454000     3.564711859     0.297059322
 1024  1024    1048576  16   64.00000   64.00000   180.075177000     3.448298907     0.215518682
