Method 1 Epsilon 0.1
Widths 32 64 128 256 512 1024
Heights 32 64 128 256 512 1024
Procs 1 2 4 6 8 10 12 16

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   32    32       1024   1   32.00000   32.00000     0.245995000     1.000000000     1.000000000
   32    32       1024   2   16.00000   16.00000     0.175408000     1.402416081     0.701208041
   32    32       1024   4    8.00000    8.00000     0.194258000     1.266331374     0.316582843
   32    32       1024   6    5.33333    5.33333     0.304914000     0.806768466     0.134461411
   32    32       1024   8    4.00000    4.00000     0.320493000     0.767551865     0.095943983
   32    32       1024  10    3.20000    3.20000     0.493022000     0.498953394     0.049895339
   32    32       1024  12    2.66667    2.66667     0.445464000     0.552221953     0.046018496
   32    32       1024  16    2.00000    2.00000     0.527868000     0.466016125     0.029126008
   64    64       4096   1   64.00000   64.00000     1.970502000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     1.117560000     1.763218082     0.881609041
   64    64       4096   4   16.00000   16.00000     0.762592000     2.583953149     0.645988287
   64    64       4096   6   10.66667   10.66667     1.093192000     1.802521424     0.300420237
   64    64       4096   8    8.00000    8.00000     1.022079000     1.927935120     0.240991890
   64    64       4096  10    6.40000    6.40000     1.371220000     1.437042925     0.143704293
   64    64       4096  12    5.33333    5.33333     1.290996000     1.526342452     0.127195204
   64    64       4096  16    4.00000    4.00000     1.463585000     1.346352962     0.084147060
  128   128      16384   1  128.00000  128.00000     9.338763000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     5.034343000     1.855011270     0.927505635
  128   128      16384   4   32.00000   32.00000     2.861400000     3.263704131     0.815926033
  128   128      16384   6   21.33333   21.33333     3.819304000     2.445147859     0.407524643
  128   128      16384   8   16.00000   16.00000     3.109390000     3.003406778     0.375425847
  128   128      16384  10   12.80000   12.80000     4.031412000     2.316499281     0.231649928
  128   128      16384  12   10.66667   10.66667     3.464431000     2.695612353     0.224634363
  128   128      16384  16    8.00000    8.00000     3.726600000     2.505974078     0.156623380
  256   256      65536   1  256.00000  256.00000    38.242636000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000    19.939161000     1.917966157     0.958983079
  256   256      65536   4   64.00000   64.00000    10.759721000     3.554240486     0.888560122
  256   256      65536   6   42.66667   42.66667    14.052138000     2.721481671     0.453580278
  256   256      65536   8   32.00000   32.00000    11.620288000     3.291023080     0.411377885
  256   256      65536  10   25.60000   25.60000    13.587278000     2.814591414     0.281459141
  256   256      65536  12   21.33333   21.33333    11.687623000     3.272062762     0.272671897
  256   256      65536  16   16.00000   16.00000    12.880819000     2.968959971     0.185559998
  512   512     262144   1  512.00000  512.00000   154.572535000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000    79.875494000     1.935168439     0.967584219
  512   512     262144   4  128.00000  128.00000    47.544883000     3.251086663     0.812771666
  512   512     262144   6   85.33333   85.33333    60.747896000     2.544491994     0.424081999
  512   512     262144   8   64.00000   64.00000    43.605485000     3.544795683     0.443099460
  512   512     262144  10   51.20000   51.20000    51.121215000     3.023647521     0.302364752
  512   512     262144  12   42.66667   42.66667    42.943241000     3.599461322     0.299955110
  512   512     262144  16   32.00000   32.00000    43.846520000     3.525309078     0.220331817
 1024  1024    1048576   1 1024.00000 1024.00000   621.018731000     1.000000000     1.000000000
 1024  1024    1048576   2  512.00000  512.00000   316.101460000     1.964618357     0.982309179
 1024  1024    1048576   4  256.00000  256.00000   167.117038000     3.716070716     0.929017679
 1024  1024    1048576   6  170.66667  170.66667   224.778043000     2.762808692     0.460468115
 1024  1024    1048576   8  128.00000  128.00000   175.249441000     3.543627457     0.442953432
 1024  1024    1048576  10  102.40000  102.40000   205.460790000     3.022565673     0.302256567
 1024  1024    1048576  12   85.33333   85.33333   170.387827000     3.644736493     0.303728041
 1024  1024    1048576  16   64.00000   64.00000   172.748278000     3.594934422     0.224683401
