Method 2 Epsilon 3.0
Widths 64 128 256 512
Heights 64 128 256 512
Procs 1 2 4 8 16 28

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   64    64       4096   1   64.00000   64.00000     0.078752000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     0.044745000     1.760017879     0.880008940
   64    64       4096   4   16.00000   16.00000     0.027462000     2.867671692     0.716917923
   64    64       4096   8    8.00000    8.00000     0.050768000     1.551213363     0.193901670
   64    64       4096  16    4.00000    4.00000     0.064347000     1.223864360     0.076491523
   64    64       4096  28    2.28571    2.28571     0.077254000     1.019390582     0.036406806
  128   128      16384   1  128.00000  128.00000     0.326282000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     0.172139000     1.895456579     0.947728289
  128   128      16384   4   32.00000   32.00000     0.136434000     2.391500652     0.597875163
  128   128      16384   8   16.00000   16.00000     0.120605000     2.705377057     0.338172132
  128   128      16384  16    8.00000    8.00000     0.159217000     2.049291219     0.128080701
  128   128      16384  28    4.57143    4.57143     0.142398000     2.291338361     0.081833513
  256   256      65536   1  256.00000  256.00000     1.317237000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000     0.672991000     1.957287690     0.978643845
  256   256      65536   4   64.00000   64.00000     0.362834000     3.630412255     0.907603064
  256   256      65536   8   32.00000   32.00000     0.372471000     3.536482035     0.442060254
  256   256      65536  16   16.00000   16.00000     0.413930000     3.182269949     0.198891872
  256   256      65536  28    9.14286    9.14286     0.460814000     2.858500393     0.102089300
  512   512     262144   1  512.00000  512.00000     5.328274000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000     2.772492000     1.921835663     0.960917831
  512   512     262144   4  128.00000  128.00000     1.490771000     3.574173364     0.893543341
  512   512     262144   8   64.00000   64.00000     1.467743000     3.630249982     0.453781248
  512   512     262144  16   32.00000   32.00000     1.796865000     2.965316816     0.185332301
  512   512     262144  28   18.28571   18.28571     1.596898000     3.336640161     0.119165720
