Method 3 Epsilon 3.0
Widths 64 128 256 512
Heights 64 128 256 512
Procs 1 2 4 8 16 28

... W     H       W*H	 P     H/P          W/P       Time(s)         Spd Up          %Eff
   64    64       4096   1   64.00000   64.00000     0.081196000     1.000000000     1.000000000
   64    64       4096   2   32.00000   32.00000     0.043633000     1.860885110     0.930442555
   64    64       4096   4   16.00000   16.00000     0.044079000     1.842056308     0.460514077
   64    64       4096   8    8.00000    8.00000     0.047647000     1.704115684     0.213014461
   64    64       4096  16    4.00000    4.00000     0.047735000     1.700974128     0.106310883
   64    64       4096  28    2.28571    2.28571     0.074219000     1.094005578     0.039071628
  128   128      16384   1  128.00000  128.00000     0.322915000     1.000000000     1.000000000
  128   128      16384   2   64.00000   64.00000     0.171686000     1.880846429     0.940423214
  128   128      16384   4   32.00000   32.00000     0.099044000     3.260318646     0.815079662
  128   128      16384   8   16.00000   16.00000     0.098306000     3.284794417     0.410599302
  128   128      16384  16    8.00000    8.00000     0.127236000     2.537921657     0.158620104
  128   128      16384  28    4.57143    4.57143     0.152338000     2.119727186     0.075704542
  256   256      65536   1  256.00000  256.00000     1.305610000     1.000000000     1.000000000
  256   256      65536   2  128.00000  128.00000     0.702041000     1.859734688     0.929867344
  256   256      65536   4   64.00000   64.00000     0.380768000     3.428885831     0.857221458
  256   256      65536   8   32.00000   32.00000     0.399938000     3.264531002     0.408066375
  256   256      65536  16   16.00000   16.00000     0.396291000     3.294573937     0.205910871
  256   256      65536  28    9.14286    9.14286     0.445990000     2.927442319     0.104551511
  512   512     262144   1  512.00000  512.00000     5.281040000     1.000000000     1.000000000
  512   512     262144   2  256.00000  256.00000     2.697467000     1.957777426     0.978888713
  512   512     262144   4  128.00000  128.00000     1.464459000     3.606137147     0.901534287
  512   512     262144   8   64.00000   64.00000     1.577673000     3.347360321     0.418420040
  512   512     262144  16   32.00000   32.00000     1.533637000     3.443474564     0.215217160
  512   512     262144  28   18.28571   18.28571     1.653807000     3.193262575     0.114045092
